churn_id,customer_id,customer_segment,customer_country,customer_city,is_churned,churn_flag,churn_date,days_since_churn,churn_reason,churn_category,churn_risk_score,churn_probability,subscription_type,customer_age_months,total_spend_usd,avg_order_value_usd,num_purchases,satisfaction_score,satisfaction_level,support_tickets,returns_count,days_since_last_purchase,customer_lifetime_value_usd,engagement_level,prevention_method,support_interactions,last_support_channel,feedback_score,loyalty_score,marketing_emails_sent,marketing_emails_opened,marketing_emails_clicked,marketing_conversions,social_media_engagement,referral_count,is_high_risk_customer,predicted_churn,customer_retention_cost_usd,recovery_revenue_usd,dataset_year,churn_rate_indicator,customer_value_category,churn_risk_category,churn_revenue_impact_usd,customer_health_score,customer_health_category,retention_probability
CHURN-000011,CUST-017526,Premium,Italy,Milan,No,0,Not Applicable,0,Not Applicable,Not Applicable,0,0.0,Premium,14,15834.61,323.16,49,3,Neutral,3,5,14,17325.94,High,None,3,Phone,2,93.3,17,3,16,0,Low,1,No,No,100.35,46.28,2026,Low,High Value,Very Low,0.0,100,Excellent,1.0
CHURN-000012,CUST-023165,Consumer,India,Ahmedabad,Yes,1,2026-01-02 00:00:00,158,Too Expensive,Competitive,44,0.44,None,8,21709.1,504.86,43,2,Dissatisfied,9,7,47,17806.05,Medium,None,4,Phone,3,68.4,42,27,31,0,None,8,No,No,144.44,357.87,2026,Medium,High Value,Medium,8683.64,65,Good,0.1
CHURN-000013,CUST-023672,Consumer,Canada,Quebec City,Yes,1,2026-03-05 00:00:00,20,Too Expensive,Competitive,40,0.4,Premium,49,3886.31,90.38,43,4,Satisfied,18,9,23,4314.83,High,None,20,Phone,3,62.9,13,4,7,0,Medium,3,No,No,150.11,118.38,2026,Medium,Low Value,Low,1554.524,100,Excellent,0.1
CHURN-000014,CUST-045457,Consumer,France,Lyon,No,0,Not Applicable,0,Not Applicable,Not Applicable,24,0.24,Basic,25,17985.72,719.43,25,4,Satisfied,11,2,8,20696.41,Medium,None,13,Email,10,75.4,14,11,5,5,None,14,No,No,96.18,492.71,2026,Low,High Value,Low,0.0,100,Excellent,0.76
CHURN-000015,CUST-022303,Premium,Japan,Hiroshima,No,0,Not Applicable,0,Not Applicable,Not Applicable,20,0.2,Premium,54,26929.7,792.05,34,3,Neutral,14,9,27,32876.34,Medium,Feedback Request,0,Chat,4,35.7,14,11,7,2,None,2,No,No,1.24,22.58,2026,Low,High Value,Very Low,0.0,100,Excellent,0.8
CHURN-000016,CUST-021533,Small Business,Saudi Arabia,Jeddah,Yes,1,2026-03-09 00:00:00,29,Shipping Issues,Involuntary,30,0.3,Premium,12,20214.94,1443.92,14,2,Dissatisfied,9,9,17,25104.49,High,None,1,Chat,7,66.5,38,9,4,4,Medium,13,No,No,83.96,342.87,2026,Medium,High Value,Low,8085.976,100,Excellent,0.1
CHURN-000017,CUST-043788,Premium,Japan,Hiroshima,Yes,1,2026-10-03 00:00:00,143,Account Issues,Involuntary,34,0.34,Premium,35,38294.2,1595.59,24,5,Very Satisfied,0,8,80,30889.92,Medium,None,2,Email,5,93.8,30,30,0,0,None,8,No,No,163.04,452.15,2026,Medium,High Value,Low,15317.68,100,Excellent,0.1
CHURN-000018,CUST-028906,Consumer,India,Ahmedabad,Yes,1,2026-05-20 00:00:00,165,Poor Product Quality,Involuntary,93,0.93,None,36,23204.35,3867.39,6,1,Very Dissatisfied,14,3,5,24292.34,Low,None,10,Self-Service,4,25.7,39,31,21,0,Low,13,Yes,Yes,48.98,99.15,2026,High,High Value,Very High,9281.74,45,Fair,0.1
CHURN-000019,CUST-042954,Consumer,Spain,Seville,Yes,1,2026-07-04 00:00:00,96,Better Price Elsewhere,Competitive,94,0.94,None,49,11543.6,769.57,15,1,Very Dissatisfied,8,2,173,10191.96,Low,None,1,Phone,4,21.6,28,26,8,0,Low,12,Yes,Yes,138.08,104.37,2026,High,High Value,Very High,4617.440000000001,25,Poor,0.1
CHURN-000020,CUST-020879,Consumer,Brazil,Brasilia,Yes,1,2026-12-26 00:00:00,57,Payment Problems,Involuntary,52,0.52,Basic,51,5065.36,148.98,34,1,Very Dissatisfied,0,1,75,5395.19,Medium,None,1,Self-Service,2,25.7,26,25,23,5,None,6,No,No,21.31,20.16,2026,Medium,Medium Value,Medium,2026.144,65,Good,0.1
CHURN-000021,CUST-046554,Consumer,Spain,Bilbao,No,0,Not Applicable,0,Not Applicable,Not Applicable,49,0.49,None,15,10549.31,310.27,34,1,Very Dissatisfied,18,4,23,10304.5,High,None,21,Email,7,62.9,16,11,7,6,None,9,No,No,143.31,339.63,2026,Low,High Value,Medium,0.0,70,Good,0.51
CHURN-000022,CUST-006454,Consumer,Singapore,Singapore,No,0,Not Applicable,0,Not Applicable,Not Applicable,7,0.07,Basic,15,47099.04,9419.81,5,4,Satisfied,2,8,7,59101.24,Medium,None,3,Chat,5,83.5,21,6,1,1,None,2,No,No,71.68,149.46,2026,Low,High Value,Very Low,0.0,100,Excellent,0.93
CHURN-000023,CUST-025166,Consumer,Mexico,Leon,Yes,1,2026-06-22 00:00:00,63,Better Price Elsewhere,Competitive,46,0.46,Basic,37,7261.81,181.55,40,4,Satisfied,16,8,57,6487.13,Low,None,13,Phone,5,10.1,33,1,0,0,None,13,No,No,89.62,229.47,2026,Medium,Medium Value,Medium,2904.724,100,Excellent,0.1
CHURN-000024,CUST-011700,Enterprise,Italy,Milan,No,0,Not Applicable,0,Not Applicable,Not Applicable,36,0.36,Enterprise,27,10032.52,271.15,37,1,Very Dissatisfied,4,1,17,9984.82,Medium,None,8,Email,5,14.9,41,29,21,6,None,14,No,No,190.17,18.06,2026,Low,High Value,Low,0.0,85,Excellent,0.64
CHURN-000025,CUST-038465,Consumer,Singapore,Singapore,No,0,Not Applicable,0,Not Applicable,Not Applicable,49,0.49,Basic,42,2754.6,114.77,24,2,Dissatisfied,15,0,324,3574.29,High,None,9,Self-Service,7,72.0,43,35,23,0,Low,10,No,No,94.4,484.6,2026,Low,Low Value,Medium,0.0,100,Excellent,0.51
CHURN-000026,CUST-006355,Premium,Spain,Seville,Yes,1,2026-07-22 00:00:00,151,Technical Issues,Involuntary,91,0.91,Premium,5,40123.18,2674.88,15,2,Dissatisfied,12,6,36,49288.51,Low,None,9,Self-Service,10,61.8,45,12,13,3,None,13,Yes,Yes,7.74,255.22,2026,High,High Value,Very High,16049.271999999999,85,Excellent,0.1
CHURN-000027,CUST-038760,Small Business,Spain,Seville,Yes,1,2026-02-23 00:00:00,75,Too Expensive,Competitive,32,0.32,Basic,15,2552.0,134.32,19,3,Neutral,7,1,78,2860.41,Low,Feedback Request,10,Chat,10,79.0,14,14,4,2,Low,13,No,No,7.24,41.67,2026,Medium,Low Value,Low,1020.8,95,Excellent,0.1
CHURN-000028,CUST-048091,Consumer,Australia,Sydney,Yes,1,2026-07-04 00:00:00,17,Found Alternative,Competitive,72,0.72,None,11,29799.94,1146.15,26,4,Satisfied,14,2,28,36997.58,Low,None,10,Email,3,6.4,35,2,35,1,None,11,Yes,Yes,11.55,485.52,2026,High,High Value,High,11919.976,100,Excellent,0.1
CHURN-000029,CUST-047694,Premium,Japan,Fukuoka,No,0,Not Applicable,0,Not Applicable,Not Applicable,25,0.25,Premium,38,13966.05,1269.64,11,2,Dissatisfied,6,8,14,17984.82,High,None,9,Email,10,91.7,16,12,6,3,Medium,2,No,No,176.25,235.23,2026,Low,High Value,Low,0.0,100,Excellent,0.75
CHURN-000030,CUST-004664,Premium,Spain,Malaga,No,0,Not Applicable,0,Not Applicable,Not Applicable,6,0.06,Basic,38,29308.55,29308.55,1,4,Satisfied,15,4,53,32022.59,Medium,Loyalty Points,7,Store Visit,8,54.0,6,1,6,5,Low,11,No,No,126.52,184.94,2026,Low,High Value,Very Low,0.0,100,Excellent,0.94
CHURN-000031,CUST-010990,Small Business,France,Lyon,No,0,Not Applicable,0,Not Applicable,Not Applicable,14,0.14,Basic,9,3783.84,157.66,24,3,Neutral,4,8,6,3265.72,Medium,None,8,Chat,5,90.7,20,10,16,0,Low,2,No,No,62.93,332.38,2026,Low,Low Value,Very Low,0.0,100,Excellent,0.86
CHURN-000032,CUST-024366,Consumer,Italy,Rome,Yes,1,2026-03-21 00:00:00,147,Better Price Elsewhere,Competitive,83,0.83,None,33,45876.78,2293.84,20,2,Dissatisfied,4,8,69,42513.69,Low,None,1,Email,4,15.1,5,0,1,0,Low,6,Yes,Yes,82.68,461.2,2026,High,High Value,Very High,18350.712,45,Fair,0.1
CHURN-000033,CUST-046736,Enterprise,Japan,Hiroshima,No,0,Not Applicable,0,Not Applicable,Not Applicable,10,0.1,Premium,52,25535.13,8511.71,3,4,Satisfied,8,2,227,28823.3,Medium,Customer Service Call,4,Email,2,3.7,24,7,3,2,Low,14,No,No,98.57,394.04,2026,Low,High Value,Very Low,0.0,100,Excellent,0.9
CHURN-000034,CUST-044776,Premium,India,Bangalore,No,0,Not Applicable,0,Not Applicable,Not Applicable,7,0.07,Basic,30,43146.66,1797.78,24,3,Neutral,6,0,44,40045.55,Medium,None,3,Social Media,7,64.9,1,0,0,0,None,15,No,No,72.81,432.23,2026,Low,High Value,Very Low,0.0,100,Excellent,0.93
CHURN-000035,CUST-022672,Premium,United States,Houston,Yes,1,2026-01-22 00:00:00,64,Poor Customer Service,Involuntary,54,0.54,Premium,17,26768.54,1216.75,22,1,Very Dissatisfied,3,7,44,34369.86,Medium,None,1,Self-Service,5,10.5,44,34,10,1,Low,9,No,No,141.83,53.02,2026,Medium,High Value,Medium,10707.416,75,Good,0.1
CHURN-000036,CUST-001365,Consumer,France,Marseille,No,0,Not Applicable,0,Not Applicable,Not Applicable,18,0.18,Basic,59,25611.11,673.98,38,4,Satisfied,11,7,24,26871.6,Medium,None,8,Chat,5,7.9,46,6,46,6,None,16,No,No,133.44,86.43,2026,Low,High Value,Very Low,0.0,100,Excellent,0.82
CHURN-000037,CUST-024921,Small Business,Canada,Ottawa,Yes,1,2026-04-10 00:00:00,50,Shipping Issues,Involuntary,75,0.75,Premium,44,32604.04,0.0,0,2,Dissatisfied,9,8,18,38413.17,Low,None,12,Email,3,40.5,15,14,9,5,Medium,17,Yes,Yes,59.55,439.97,2026,High,High Value,High,13041.616000000002,95,Excellent,0.1
CHURN-000038,CUST-022814,Small Business,Singapore,Singapore,No,0,Not Applicable,0,Not Applicable,Not Applicable,0,0.0,Basic,14,37845.06,1892.25,20,5,Very Satisfied,8,4,21,32823.18,High,None,11,Self-Service,2,63.3,9,5,7,3,Low,0,No,No,186.64,386.83,2026,Low,High Value,Very Low,0.0,100,Excellent,1.0
CHURN-000039,CUST-040196,Premium,United Kingdom,Birmingham,Yes,1,2026-08-10 00:00:00,54,Poor Customer Service,Involuntary,65,0.65,Premium,35,22546.55,777.47,29,1,Very Dissatisfied,18,5,80,20387.38,High,Discount Offer,7,Phone,7,35.6,49,15,47,3,Medium,7,No,No,148.59,366.05,2026,Medium,High Value,High,9018.62,80,Good,0.1
CHURN-000040,CUST-000833,Small Business,France,Bordeaux,No,0,Not Applicable,0,Not Applicable,Not Applicable,59,0.59,None,9,36781.54,943.12,39,2,Dissatisfied,9,4,66,43410.45,Medium,Loyalty Points,7,Phone,3,24.3,14,9,0,0,None,13,No,No,50.25,63.98,2026,Medium,High Value,Medium,0.0,55,Fair,0.41
CHURN-000041,CUST-023751,Consumer,Italy,Bologna,Yes,1,2026-05-09 00:00:00,36,Poor Customer Service,Involuntary,71,0.71,None,36,6412.3,194.31,33,4,Satisfied,12,7,12,8192.48,Low,None,3,Store Visit,3,28.4,4,1,2,2,Low,1,Yes,Yes,23.68,295.01,2026,High,Medium Value,High,2564.92,100,Excellent,0.1
CHURN-000042,CUST-002611,Premium,United States,Philadelphia,No,0,Not Applicable,0,Not Applicable,Not Applicable,25,0.25,Premium,25,41514.66,1887.03,22,4,Satisfied,8,1,203,37089.24,Low,None,8,Chat,2,1.2,39,9,6,0,Medium,2,No,No,166.31,356.1,2026,Low,High Value,Low,0.0,100,Excellent,0.75
CHURN-000043,CUST-041520,Enterprise,India,Mumbai,Yes,1,2026-12-08 00:00:00,43,Too Expensive,Competitive,12,0.12,Premium,12,37129.39,4641.17,8,5,Very Satisfied,2,5,214,29835.91,Medium,None,6,Phone,6,16.4,4,2,1,0,Low,15,No,No,42.22,99.51,2026,Medium,High Value,Very Low,14851.756,100,Excellent,0.1
CHURN-000044,CUST-043280,Consumer,Canada,Edmonton,Yes,1,2026-12-14 00:00:00,122,Poor Customer Service,Involuntary,66,0.66,None,55,15055.6,327.3,46,1,Very Dissatisfied,11,7,352,19170.46,High,None,11,Chat,1,54.3,12,1,7,3,None,3,No,Yes,15.38,5.89,2026,Medium,High Value,High,6022.240000000002,50,Fair,0.1
CHURN-000045,CUST-001776,Consumer,United States,Phoenix,No,0,Not Applicable,0,Not Applicable,Not Applicable,32,0.32,None,47,7941.99,441.22,18,4,Satisfied,15,0,18,7466.77,High,None,17,Email,7,47.8,25,12,11,8,Medium,10,No,No,139.27,268.82,2026,Low,Medium Value,Low,0.0,100,Excellent,0.68
CHURN-000046,CUST-049424,Enterprise,Brazil,Brasilia,Yes,1,2026-07-14 00:00:00,136,Better Price Elsewhere,Competitive,20,0.2,Premium,41,15285.04,3057.01,5,1,Very Dissatisfied,7,2,14,17933.22,Medium,Feedback Request,10,Chat,9,7.8,0,0,0,0,None,14,No,No,127.62,18.24,2026,Medium,High Value,Very Low,6114.016000000001,85,Excellent,0.1
CHURN-000047,CUST-046723,Premium,Italy,Milan,Yes,1,2026-05-03 00:00:00,118,Poor Customer Service,Involuntary,38,0.38,Basic,31,48598.96,2699.94,18,2,Dissatisfied,8,0,11,48253.07,Medium,None,5,Phone,9,97.6,10,2,0,0,None,12,No,No,161.86,330.37,2026,Medium,High Value,Low,19439.584,100,Excellent,0.1
CHURN-000048,CUST-010342,Enterprise,Mexico,Cancun,No,0,Not Applicable,0,Not Applicable,Not Applicable,17,0.17,Premium,48,6477.65,647.76,10,3,Neutral,3,6,29,6462.79,High,None,7,Chat,5,70.0,24,15,11,8,High,12,No,No,65.71,412.26,2026,Low,Medium Value,Very Low,0.0,100,Excellent,0.83
CHURN-000049,CUST-011492,Consumer,Netherlands,Breda,No,0,Not Applicable,0,Not Applicable,Not Applicable,35,0.35,None,41,10586.18,365.04,29,5,Very Satisfied,16,7,69,12256.06,High,Discount Offer,13,Self-Service,3,7.9,1,1,0,0,None,5,No,No,19.34,392.82,2026,Low,High Value,Low,0.0,100,Excellent,0.65
CHURN-000050,CUST-030786,Small Business,United Kingdom,Newcastle,No,0,Not Applicable,0,Not Applicable,Not Applicable,26,0.26,Premium,39,31598.46,1436.29,22,4,Satisfied,11,6,5,27346.57,Medium,None,15,Store Visit,10,12.2,42,39,31,4,None,19,No,No,15.24,347.59,2026,Low,High Value,Low,0.0,100,Excellent,0.74
CHURN-000051,CUST-038673,Small Business,Japan,Osaka,No,0,Not Applicable,0,Not Applicable,Not Applicable,32,0.32,Premium,24,38083.93,2115.77,18,3,Neutral,18,3,67,47619.88,Medium,None,10,Email,8,57.4,44,44,12,4,Low,12,No,No,13.87,160.35,2026,Low,High Value,Low,0.0,100,Excellent,0.68
CHURN-000052,CUST-028993,Enterprise,Germany,Berlin,Yes,1,2026-05-20 00:00:00,5,Found Alternative,Competitive,82,0.82,Premium,27,15743.56,787.18,20,2,Dissatisfied,12,8,49,18666.19,Low,Feedback Request,10,Phone,2,38.5,23,8,17,9,Low,1,Yes,Yes,101.82,72.49,2026,High,High Value,Very High,6297.424,85,Excellent,0.1
CHURN-000053,CUST-039363,Premium,Italy,Florence,No,0,Not Applicable,0,Not Applicable,Not Applicable,0,0.0,Premium,16,32829.38,32829.38,1,3,Neutral,3,4,64,32993.57,Medium,None,2,Self-Service,4,23.5,19,4,4,4,Low,15,No,No,100.82,59.39,2026,Low,High Value,Very Low,0.0,100,Excellent,1.0
CHURN-000054,CUST-046747,Premium,Spain,Murcia,Yes,1,2026-02-15 00:00:00,131,Poor Customer Service,Involuntary,61,0.61,Premium,15,16765.2,598.76,28,2,Dissatisfied,15,6,69,19343.93,High,Feedback Request,17,Self-Service,10,47.2,23,1,20,2,None,12,No,No,165.55,263.54,2026,Medium,High Value,High,6706.080000000001,100,Excellent,0.1
CHURN-000055,CUST-029330,Small Business,Germany,Cologne,No,0,Not Applicable,0,Not Applicable,Not Applicable,38,0.38,Basic,15,41678.88,1437.2,29,4,Satisfied,5,2,258,34938.28,Low,Feedback Request,9,Chat,10,88.1,5,5,4,0,None,10,No,No,127.56,251.28,2026,Low,High Value,Low,0.0,100,Excellent,0.62
CHURN-000056,CUST-043472,Enterprise,United Kingdom,Liverpool,Yes,1,2026-09-05 00:00:00,114,Payment Problems,Involuntary,29,0.29,Enterprise,13,7793.32,181.24,43,2,Dissatisfied,8,0,17,8063.88,Medium,Special Promotion,12,Email,6,76.1,30,24,6,1,Low,3,No,No,21.36,261.8,2026,Medium,Medium Value,Low,3117.328,100,Excellent,0.1
CHURN-000057,CUST-025940,Consumer,Spain,Murcia,No,0,Not Applicable,0,Not Applicable,Not Applicable,19,0.19,None,22,10767.3,219.74,49,5,Very Satisfied,18,5,55,13684.19,High,Loyalty Points,20,Social Media,10,33.6,31,16,7,5,Medium,0,No,No,116.24,367.27,2026,Low,High Value,Very Low,0.0,100,Excellent,0.81
CHURN-000058,CUST-015982,Consumer,Mexico,Cancun,Yes,1,2026-09-13 00:00:00,117,Technical Issues,Involuntary,75,0.75,None,58,19899.07,2842.72,7,3,Neutral,12,8,20,23165.45,Low,None,15,Phone,5,61.8,47,18,20,1,Low,14,Yes,Yes,52.35,280.4,2026,High,High Value,High,7959.6280000000015,85,Excellent,0.1
CHURN-000059,CUST-027668,Enterprise,Saudi Arabia,Medina,No,0,Not Applicable,0,Not Applicable,Not Applicable,42,0.42,Enterprise,40,17039.7,1310.75,13,2,Dissatisfied,6,8,56,16057.68,High,None,3,Email,3,84.2,9,5,8,6,Low,18,No,No,67.85,452.05,2026,Low,High Value,Medium,0.0,100,Excellent,0.58
CHURN-000060,CUST-017684,Consumer,United States,Philadelphia,No,0,Not Applicable,0,Not Applicable,Not Applicable,4,0.04,Basic,51,39913.09,1078.73,37,4,Satisfied,10,9,5,36027.57,Medium,Discount Offer,4,Chat,3,81.8,34,9,0,0,Low,1,No,No,23.57,317.89,2026,Low,High Value,Very Low,0.0,100,Excellent,0.96
CHURN-000061,CUST-024686,Premium,Brazil,Brasilia,No,0,Not Applicable,0,Not Applicable,Not Applicable,36,0.36,Basic,17,3922.52,115.37,34,2,Dissatisfied,5,0,296,4061.33,Medium,Feedback Request,9,Phone,9,33.2,48,41,45,3,High,13,No,No,132.77,75.88,2026,Low,Low Value,Low,0.0,85,Excellent,0.64
CHURN-000062,CUST-043848,Small Business,Canada,Ottawa,No,0,Not Applicable,0,Not Applicable,Not Applicable,0,0.0,Basic,52,1419.69,0.0,0,4,Satisfied,9,9,23,1708.59,Medium,None,7,Social Media,5,42.6,40,19,9,1,Low,10,No,No,1.18,402.13,2026,Low,Low Value,Very Low,0.0,100,Excellent,1.0
CHURN-000063,CUST-043767,Consumer,Netherlands,Utrecht,No,0,Not Applicable,0,Not Applicable,Not Applicable,33,0.33,Basic,52,10584.36,258.16,41,2,Dissatisfied,7,3,33,11968.21,High,Loyalty Points,8,Store Visit,2,6.3,30,8,1,1,None,14,No,No,115.22,365.95,2026,Low,High Value,Low,0.0,100,Excellent,0.67
CHURN-000064,CUST-020088,Consumer,France,Bordeaux,Yes,1,2026-01-25 00:00:00,132,Poor Customer Service,Involuntary,39,0.39,Basic,6,10704.88,369.13,29,5,Very Satisfied,15,6,75,12789.72,High,None,15,Email,5,80.0,13,6,2,0,Low,6,No,No,121.5,478.35,2026,Medium,High Value,Low,4281.952,100,Excellent,0.1
CHURN-000065,CUST-017177,Small Business,United States,Los Angeles,No,0,Not Applicable,0,Not Applicable,Not Applicable,17,0.17,Basic,52,32675.29,1166.97,28,3,Neutral,11,0,236,36747.6,Medium,Loyalty Points,9,Self-Service,4,94.9,26,7,9,4,Medium,6,No,No,116.22,238.42,2026,Low,High Value,Very Low,0.0,100,Excellent,0.83
CHURN-000066,CUST-024486,Enterprise,India,Bangalore,No,0,Not Applicable,0,Not Applicable,Not Applicable,9,0.09,Enterprise,5,7748.62,387.43,20,3,Neutral,1,8,185,7207.86,High,None,1,Phone,8,87.0,8,6,6,4,Medium,11,No,No,104.96,164.33,2026,Low,Medium Value,Very Low,0.0,100,Excellent,0.91
CHURN-000067,CUST-023208,Premium,Canada,Hamilton,No,0,Not Applicable,0,Not Applicable,Not Applicable,15,0.15,Premium,16,31692.64,4527.52,7,5,Very Satisfied,1,0,147,39287.13,Medium,None,0,Self-Service,10,17.7,28,26,4,1,None,11,No,No,42.18,409.19,2026,Low,High Value,Very Low,0.0,100,Excellent,0.85
CHURN-000068,CUST-000802,Consumer,Italy,Naples,No,0,Not Applicable,0,Not Applicable,Not Applicable,2,0.02,Basic,14,2424.38,73.47,33,4,Satisfied,5,3,44,2911.37,Medium,None,0,Social Media,10,12.6,22,11,3,0,Medium,13,No,No,35.47,40.76,2026,Low,Low Value,Very Low,0.0,100,Excellent,0.98
CHURN-000069,CUST-036784,Premium,Spain,Seville,No,0,Not Applicable,0,Not Applicable,Not Applicable,90,0.9,Premium,58,35738.45,1701.83,21,1,Very Dissatisfied,14,9,40,29671.43,Low,None,13,Chat,2,67.8,42,8,19,4,Medium,5,Yes,Yes,74.66,314.83,2026,Medium,High Value,Very High,0.0,65,Good,0.1
CHURN-000070,CUST-043764,Consumer,France,Montpellier,Yes,1,2026-01-15 00:00:00,155,Shipping Issues,Involuntary,60,0.6,None,29,40415.21,1393.63,29,2,Dissatisfied,14,2,60,48318.23,High,None,7,Store Visit,10,26.4,43,17,31,6,Low,16,No,No,8.81,367.25,2026,Medium,High Value,Medium,16166.083999999999,70,Good,0.1
CHURN-000071,CUST-033845,Consumer,United States,Houston,Yes,1,2026-06-22 00:00:00,78,Too Expensive,Competitive,72,0.72,Basic,45,48813.21,9762.64,5,2,Dissatisfied,1,4,154,58438.05,Low,None,4,Chat,3,43.9,29,13,17,8,None,11,Yes,Yes,39.52,165.04,2026,High,High Value,High,19525.284,75,Good,0.1
CHURN-000072,CUST-016833,Small Business,Mexico,Mexico City,No,0,Not Applicable,0,Not Applicable,Not Applicable,35,0.35,Premium,21,11245.68,239.27,47,1,Very Dissatisfied,2,4,14,12092.7,Medium,None,1,Phone,7,94.1,44,25,30,0,None,11,No,No,105.44,241.04,2026,Low,High Value,Low,0.0,85,Excellent,0.65
CHURN-000073,CUST-040111,Premium,India,Mumbai,No,0,Not Applicable,0,Not Applicable,Not Applicable,8,0.08,Basic,30,31889.2,839.19,38,4,Satisfied,8,8,38,27741.41,Medium,None,8,Self-Service,5,64.0,44,37,4,4,Medium,16,No,No,103.4,183.52,2026,Low,High Value,Very Low,0.0,100,Excellent,0.92
CHURN-000074,CUST-020751,Consumer,Mexico,Monterrey,No,0,Not Applicable,0,Not Applicable,Not Applicable,42,0.42,None,34,21344.42,711.48,30,3,Neutral,2,5,17,17734.66,Low,None,6,Chat,9,22.5,38,18,30,6,Low,11,No,No,136.72,102.6,2026,Low,High Value,Medium,0.0,85,Excellent,0.58
