customer_id,churn_flag,customer_segment,customer_age_months,satisfaction_score,engagement_level,support_tickets,support_interactions,returns_count,days_since_last_purchase,purchase_recency_group,customer_lifetime_value_usd,total_spend_usd,avg_order_value_usd,num_purchases,churn_reason,churn_revenue_impact_usd,customer_country
CUST-030786,0,Small Business,39,4,Medium,11,15,6,5,0-30 days,27346.57,31598.46,1436.29,22,Not Applicable,0.0,United Kingdom
CUST-038673,0,Small Business,24,3,Medium,18,10,3,67,61-90 days,47619.88,38083.93,2115.77,18,Not Applicable,0.0,Japan
CUST-028993,1,Enterprise,27,2,Low,12,10,8,49,31-60 days,18666.19,15743.56,787.18,20,Found Alternative,6297.424,Germany
CUST-039363,0,Premium,16,3,Medium,3,2,4,64,61-90 days,32993.57,32829.38,32829.38,1,Not Applicable,0.0,Italy
CUST-046747,1,Premium,15,2,High,15,17,6,69,61-90 days,19343.93,16765.2,598.76,28,Poor Customer Service,6706.080000000001,Spain
CUST-029330,0,Small Business,15,4,Low,5,9,2,258,181-270 days,34938.28,41678.88,1437.2,29,Not Applicable,0.0,Germany
CUST-043472,1,Enterprise,13,2,Medium,8,12,0,17,0-30 days,8063.88,7793.32,181.24,43,Payment Problems,3117.328,United Kingdom
CUST-025940,0,Consumer,22,5,High,18,20,5,55,31-60 days,13684.19,10767.3,219.74,49,Not Applicable,0.0,Spain
CUST-015982,1,Consumer,58,3,Low,12,15,8,20,0-30 days,23165.45,19899.07,2842.72,7,Technical Issues,7959.628000000002,Mexico
CUST-027668,0,Enterprise,40,2,High,6,3,8,56,31-60 days,16057.68,17039.7,1310.75,13,Not Applicable,0.0,Saudi Arabia
CUST-017684,0,Consumer,51,4,Medium,10,4,9,5,0-30 days,36027.57,39913.09,1078.73,37,Not Applicable,0.0,United States
CUST-024686,0,Premium,17,2,Medium,5,9,0,296,271-365 days,4061.33,3922.52,115.37,34,Not Applicable,0.0,Brazil
CUST-043848,0,Small Business,52,4,Medium,9,7,9,23,0-30 days,1708.59,1419.69,0.0,0,Not Applicable,0.0,Canada
CUST-043767,0,Consumer,52,2,High,7,8,3,33,31-60 days,11968.21,10584.36,258.16,41,Not Applicable,0.0,Netherlands
CUST-020088,1,Consumer,6,5,High,15,15,6,75,61-90 days,12789.72,10704.88,369.13,29,Poor Customer Service,4281.952,France
CUST-017177,0,Small Business,52,3,Medium,11,9,0,236,181-270 days,36747.6,32675.29,1166.97,28,Not Applicable,0.0,United States
CUST-024486,0,Enterprise,5,3,High,1,1,8,185,181-270 days,7207.86,7748.62,387.43,20,Not Applicable,0.0,India
CUST-023208,0,Premium,16,5,Medium,1,0,0,147,91-180 days,39287.13,31692.64,4527.52,7,Not Applicable,0.0,Canada
CUST-000802,0,Consumer,14,4,Medium,5,0,3,44,31-60 days,2911.37,2424.38,73.47,33,Not Applicable,0.0,Italy
CUST-036784,0,Premium,58,1,Low,14,13,9,40,31-60 days,29671.43,35738.45,1701.83,21,Not Applicable,0.0,Spain
CUST-043764,1,Consumer,29,2,High,14,7,2,60,31-60 days,48318.23,40415.21,1393.63,29,Shipping Issues,16166.084,France
CUST-033845,1,Consumer,45,2,Low,1,4,4,154,91-180 days,58438.05,48813.21,9762.64,5,Too Expensive,19525.284,United States
CUST-016833,0,Small Business,21,1,Medium,2,1,4,14,0-30 days,12092.7,11245.68,239.27,47,Not Applicable,0.0,Mexico
CUST-040111,0,Premium,30,4,Medium,8,8,8,38,31-60 days,27741.41,31889.2,839.19,38,Not Applicable,0.0,India
CUST-020751,0,Consumer,34,3,Low,2,6,5,17,0-30 days,17734.66,21344.42,711.48,30,Not Applicable,0.0,Mexico
CUST-031555,1,Consumer,38,5,Low,14,3,9,119,91-180 days,24375.78,25454.11,1958.01,13,Account Issues,10181.644,Netherlands
CUST-025828,1,Consumer,7,2,High,4,1,2,79,61-90 days,10960.61,8670.92,394.13,22,Shipping Issues,3468.3680000000004,Brazil
CUST-044661,0,Premium,41,3,Medium,6,6,6,206,181-270 days,15409.66,15995.47,1332.96,12,Not Applicable,0.0,Mexico
CUST-016027,0,Consumer,40,4,High,11,3,6,91,91-180 days,36945.33,29990.45,1071.09,28,Not Applicable,0.0,United States
CUST-048130,1,Enterprise,42,1,Low,19,5,5,243,181-270 days,38583.43,31553.62,1262.14,25,Shipping Issues,12621.448,United Kingdom
CUST-029289,0,Premium,55,5,High,2,4,8,32,31-60 days,27316.59,29415.55,2674.14,11,Not Applicable,0.0,Singapore
CUST-047290,0,Consumer,36,5,Medium,13,17,1,150,91-180 days,9141.16,7031.88,175.8,40,Not Applicable,0.0,Saudi Arabia
CUST-007494,0,Enterprise,47,4,Medium,11,10,4,23,0-30 days,57920.79,49005.78,2722.54,18,Not Applicable,0.0,Australia
CUST-008393,1,Premium,34,2,Low,4,2,6,42,31-60 days,36812.38,39063.63,2441.48,16,Better Price Elsewhere,15625.452,Saudi Arabia
CUST-022912,0,Small Business,56,5,Low,0,3,7,79,61-90 days,1273.54,1568.54,92.27,17,Not Applicable,0.0,Singapore
CUST-014063,1,Consumer,46,2,Medium,10,7,0,173,91-180 days,51927.07,40859.49,1167.41,35,Shipping Issues,16343.796,Brazil
CUST-030370,1,Consumer,20,4,High,17,9,0,85,61-90 days,7037.63,6326.94,287.59,22,Poor Product Quality,2530.776,Mexico
CUST-033235,1,Consumer,12,3,Medium,15,16,6,47,31-60 days,18437.81,17346.53,788.48,22,Poor Product Quality,6938.611999999999,Germany
CUST-019746,0,Small Business,59,1,Low,16,10,5,25,0-30 days,13121.37,10866.85,1207.43,9,Not Applicable,0.0,Netherlands
CUST-046594,0,Small Business,46,2,High,3,3,6,80,61-90 days,5325.01,4979.68,829.95,6,Not Applicable,0.0,France
CUST-028172,1,Premium,18,3,High,16,10,8,30,0-30 days,7713.48,6368.13,159.2,40,Found Alternative,2547.2520000000004,India
CUST-033940,0,Small Business,49,3,Medium,0,1,4,308,271-365 days,53374.45,49573.8,2609.15,19,Not Applicable,0.0,United Kingdom
CUST-029767,0,Consumer,28,4,High,5,4,3,255,181-270 days,31143.73,26786.61,1785.77,15,Not Applicable,0.0,Netherlands
CUST-015857,0,Consumer,48,1,Medium,8,10,9,37,31-60 days,43411.78,42818.34,0.0,0,Not Applicable,0.0,Saudi Arabia
CUST-047922,0,Small Business,27,5,Medium,9,9,9,71,61-90 days,4083.22,4938.6,123.47,40,Not Applicable,0.0,Pakistan
CUST-011958,0,Consumer,1,5,High,15,4,2,52,31-60 days,47131.43,41594.92,0.0,0,Not Applicable,0.0,Germany
CUST-035595,1,Consumer,15,1,Medium,13,5,6,66,61-90 days,29893.57,33843.23,4230.4,8,Poor Customer Service,13537.292,Canada
CUST-012970,0,Premium,1,3,High,10,14,7,357,271-365 days,29545.86,34602.54,11534.18,3,Not Applicable,0.0,Netherlands
CUST-033749,1,Consumer,36,2,Low,16,7,1,65,61-90 days,713.66,672.67,13.73,49,Technical Issues,269.068,Singapore
CUST-034015,1,Enterprise,8,1,Medium,19,16,1,42,31-60 days,20874.83,22691.64,1194.3,19,Better Price Elsewhere,9076.656,France
CUST-015491,1,Consumer,24,2,Medium,2,5,1,57,31-60 days,30187.14,30910.07,5151.68,6,Better Price Elsewhere,12364.028,Singapore
CUST-009540,1,Consumer,36,1,Medium,4,1,6,1,0-30 days,17685.62,13688.97,855.56,16,Shipping Issues,5475.588000000002,Canada
CUST-008608,0,Premium,33,3,Medium,2,1,1,330,271-365 days,31955.07,24870.52,994.82,25,Not Applicable,0.0,Netherlands
CUST-020547,0,Consumer,28,3,Medium,4,4,4,359,271-365 days,597.17,639.34,58.12,11,Not Applicable,0.0,United Arab Emirates
CUST-024611,0,Premium,10,5,Medium,6,9,5,8,0-30 days,37910.55,36198.47,1340.68,27,Not Applicable,0.0,United Kingdom
CUST-041859,1,Consumer,8,2,High,17,21,2,65,61-90 days,54759.21,46934.26,4693.43,10,Better Price Elsewhere,18773.704,Saudi Arabia
CUST-025114,1,Premium,27,2,Medium,16,8,2,241,181-270 days,19967.88,19738.38,493.46,40,Poor Product Quality,7895.352000000001,Netherlands
CUST-012558,0,Premium,44,5,High,8,0,1,156,91-180 days,5629.78,6170.85,342.83,18,Not Applicable,0.0,France
CUST-007180,0,Premium,51,2,Medium,7,6,6,36,31-60 days,3520.01,3934.39,106.33,37,Not Applicable,0.0,Pakistan
CUST-002735,0,Consumer,59,4,High,6,1,1,40,31-60 days,21150.84,19352.5,1612.71,12,Not Applicable,0.0,Mexico
CUST-036166,1,Premium,17,1,High,8,5,1,77,61-90 days,40937.45,49629.85,1102.89,45,Payment Problems,19851.94,Pakistan
CUST-034558,1,Consumer,15,1,High,16,7,0,69,61-90 days,44606.96,37258.53,4657.32,8,Too Expensive,14903.412,Japan
CUST-010588,0,Premium,55,5,High,3,4,4,66,61-90 days,13078.73,13997.62,538.37,26,Not Applicable,0.0,Pakistan
CUST-015198,0,Consumer,42,3,High,1,4,2,62,61-90 days,4771.9,3735.12,91.1,41,Not Applicable,0.0,Saudi Arabia
CUST-012648,1,Small Business,26,2,Medium,9,7,8,364,271-365 days,2952.73,3613.84,116.58,31,No Longer Need Service,1445.536,Germany
CUST-039009,1,Small Business,10,4,High,4,0,5,324,271-365 days,29980.75,27915.16,664.65,42,Found Alternative,11166.063999999997,Pakistan
CUST-018907,1,Premium,56,1,High,17,13,8,95,91-180 days,10949.73,13128.87,273.52,48,Poor Customer Service,5251.548000000002,Singapore
CUST-035456,0,Enterprise,37,2,Medium,1,0,7,271,271-365 days,13090.47,11308.71,491.68,23,Not Applicable,0.0,Spain
CUST-004404,1,Consumer,29,5,High,1,4,9,81,61-90 days,51061.05,49589.56,2917.03,17,Low Product Variety,19835.824,Japan
CUST-026164,1,Premium,2,1,Medium,11,3,0,57,31-60 days,11005.62,9207.5,297.02,31,Poor Product Quality,3683.0,France
CUST-003400,0,Premium,13,4,High,15,4,4,4,0-30 days,22428.36,17628.88,1958.76,9,Not Applicable,0.0,France
CUST-008186,0,Premium,12,3,Low,3,3,4,52,31-60 days,31077.07,32635.59,0.0,0,Not Applicable,0.0,Italy
CUST-032847,0,Consumer,42,5,Medium,17,18,1,4,0-30 days,54641.33,46731.75,2596.21,18,Not Applicable,0.0,India
CUST-047889,1,Consumer,36,1,High,2,2,7,41,31-60 days,7799.19,6902.54,1380.51,5,Shipping Issues,2761.016,Pakistan
CUST-031974,1,Premium,7,3,Low,10,9,5,27,0-30 days,42247.9,45781.91,11445.48,4,No Longer Need Service,18312.764000000006,Germany
CUST-000569,0,Enterprise,21,5,Medium,5,8,0,74,61-90 days,6089.45,4814.2,178.3,27,Not Applicable,0.0,Pakistan
CUST-004684,0,Consumer,47,3,Low,17,4,5,148,91-180 days,11037.85,9093.7,909.37,10,Not Applicable,0.0,Japan
CUST-007984,1,Consumer,5,2,Medium,7,3,2,29,0-30 days,18116.42,16562.68,1380.22,12,Poor Customer Service,6625.071999999999,United Kingdom
CUST-021293,0,Consumer,31,2,Medium,0,2,8,354,271-365 days,46222.74,40584.19,863.49,47,Not Applicable,0.0,United Arab Emirates
CUST-000794,0,Premium,12,2,High,15,7,1,52,31-60 days,32417.82,25088.03,611.9,41,Not Applicable,0.0,Singapore
CUST-014368,1,Premium,18,1,Medium,3,1,6,81,61-90 days,17064.49,18503.64,4625.91,4,Better Price Elsewhere,7401.456,Italy
CUST-038517,1,Consumer,42,1,Low,19,15,7,20,0-30 days,42307.93,42687.63,1377.02,31,Better Price Elsewhere,17075.052,Mexico
CUST-049750,0,Consumer,55,3,Medium,16,14,2,69,61-90 days,44478.45,35281.67,1533.99,23,Not Applicable,0.0,Canada
CUST-024355,0,Consumer,3,1,High,0,3,4,15,0-30 days,45732.67,47335.73,1479.24,32,Not Applicable,0.0,Pakistan
CUST-021371,1,Enterprise,36,3,High,3,5,6,49,31-60 days,36454.29,30555.67,1388.89,22,Slow Delivery,12222.268,France
CUST-017985,0,Premium,52,1,High,2,3,7,74,61-90 days,12303.09,10470.7,317.29,33,Not Applicable,0.0,Germany
CUST-023182,1,Premium,31,2,Medium,6,4,3,135,91-180 days,24071.34,27805.3,604.46,46,Poor Customer Service,11122.12,Canada
CUST-017931,1,Premium,4,2,High,2,4,8,88,61-90 days,48911.9,40431.31,962.65,42,Payment Problems,16172.524,Netherlands
CUST-014280,0,Premium,16,1,Low,13,5,4,47,31-60 days,17199.33,17223.93,382.75,45,Not Applicable,0.0,Saudi Arabia
CUST-004202,0,Premium,14,3,Medium,5,1,7,9,0-30 days,44197.19,38944.04,1024.84,38,Not Applicable,0.0,France
CUST-017599,0,Consumer,31,4,Medium,9,1,8,161,91-180 days,42734.42,42306.76,1762.78,24,Not Applicable,0.0,Australia
CUST-021290,0,Consumer,55,3,Low,12,9,0,37,31-60 days,44760.55,48875.6,48875.6,1,Not Applicable,0.0,India
CUST-015499,0,Premium,28,2,Low,14,12,5,270,181-270 days,59318.71,46017.01,2191.29,21,Not Applicable,0.0,Mexico
CUST-012664,0,Enterprise,1,5,Medium,7,9,2,79,61-90 days,45853.5,38698.21,943.86,41,Not Applicable,0.0,Singapore
CUST-000126,1,Premium,21,3,High,14,0,2,30,0-30 days,11389.87,12381.54,1238.15,10,Low Product Variety,4952.616000000001,India
CUST-004418,1,Small Business,45,1,Low,2,3,5,36,31-60 days,9155.77,9558.84,434.49,22,Better Price Elsewhere,3823.536,United States
CUST-034752,0,Premium,54,2,Medium,17,13,7,15,0-30 days,11025.09,8919.64,424.74,21,Not Applicable,0.0,United Arab Emirates
CUST-003724,1,Consumer,57,2,Low,18,20,3,208,181-270 days,2837.41,2739.37,0.0,0,Found Alternative,1095.748,Italy
CUST-040423,1,Consumer,38,5,Low,16,4,2,71,61-90 days,19910.57,15426.37,358.75,43,Too Expensive,6170.5480000000025,India
CUST-004015,0,Premium,7,3,Low,19,10,3,45,31-60 days,32751.48,30271.93,6054.39,5,Not Applicable,0.0,Canada
CUST-015726,1,Consumer,9,2,Medium,9,12,1,51,31-60 days,6075.07,7551.78,686.53,11,No Longer Need Service,3020.712,Germany
CUST-042492,0,Premium,54,5,High,8,7,4,244,181-270 days,27260.81,21987.63,0.0,0,Not Applicable,0.0,Pakistan
CUST-015548,0,Premium,30,4,Low,7,7,6,26,0-30 days,38426.75,32012.2,6402.44,5,Not Applicable,0.0,United Kingdom
CUST-021086,0,Premium,15,1,High,0,2,9,35,31-60 days,43336.43,45960.86,5106.76,9,Not Applicable,0.0,Australia
CUST-023169,0,Enterprise,21,1,Medium,1,2,8,240,181-270 days,7374.07,6808.96,138.96,49,Not Applicable,0.0,Pakistan
CUST-017126,1,Consumer,13,4,Medium,18,0,9,74,61-90 days,824.86,768.08,76.81,10,Low Product Variety,307.232,Spain
CUST-013709,0,Consumer,16,4,Low,10,10,3,52,31-60 days,54176.78,44064.37,11016.09,4,Not Applicable,0.0,Brazil
CUST-025651,0,Enterprise,27,1,High,16,14,1,48,31-60 days,21542.7,17960.37,8980.18,2,Not Applicable,0.0,Mexico
CUST-012866,0,Consumer,2,2,High,0,0,2,72,61-90 days,1311.76,1532.2,34.05,45,Not Applicable,0.0,Netherlands
CUST-006704,0,Premium,17,4,Medium,4,6,5,86,61-90 days,17858.22,16020.88,381.45,42,Not Applicable,0.0,Japan
CUST-026626,0,Small Business,48,4,Medium,10,10,5,24,0-30 days,20641.25,17330.5,1733.05,10,Not Applicable,0.0,France
CUST-045617,0,Enterprise,32,3,Low,1,2,8,192,181-270 days,50296.56,40024.58,3638.6,11,Not Applicable,0.0,Netherlands
CUST-047962,1,Consumer,13,4,High,10,6,1,73,61-90 days,43193.13,40469.67,1037.68,39,Payment Problems,16187.868,Saudi Arabia
CUST-013297,0,Consumer,36,3,Low,9,8,5,43,31-60 days,46545.1,47161.05,1096.77,43,Not Applicable,0.0,Brazil
CUST-014533,1,Premium,32,3,Low,14,8,4,40,31-60 days,39434.24,35197.12,1407.88,25,No Longer Need Service,14078.848000000002,Canada
CUST-000849,1,Premium,39,5,Low,7,6,8,247,181-270 days,19177.56,18467.86,0.0,0,No Longer Need Service,7387.144,United Arab Emirates
CUST-017653,0,Consumer,4,4,Medium,9,13,9,88,61-90 days,27172.74,21089.61,1240.57,17,Not Applicable,0.0,India
CUST-007043,0,Premium,7,2,Low,5,8,9,202,181-270 days,6440.46,5669.61,515.42,11,Not Applicable,0.0,Saudi Arabia
CUST-023614,0,Consumer,7,5,High,19,8,5,7,0-30 days,28996.99,30397.07,921.12,33,Not Applicable,0.0,Spain
CUST-009691,1,Consumer,11,2,High,2,0,2,302,271-365 days,52336.15,42229.02,1508.18,28,Too Expensive,16891.608,United Arab Emirates
CUST-002400,0,Premium,19,3,High,16,18,8,4,0-30 days,32367.34,27828.7,1209.94,23,Not Applicable,0.0,Saudi Arabia
CUST-020283,1,Consumer,6,4,Medium,7,2,7,80,61-90 days,27486.9,31406.97,697.93,45,No Longer Need Service,12562.788,Brazil
CUST-039175,0,Small Business,8,1,Medium,2,6,0,75,61-90 days,34894.46,29916.73,1994.45,15,Not Applicable,0.0,United Arab Emirates
CUST-033462,0,Premium,46,5,Low,4,0,9,343,271-365 days,15624.54,19047.82,1587.32,12,Not Applicable,0.0,Canada
CUST-005464,0,Premium,51,3,High,3,5,9,85,61-90 days,64277.98,49977.41,4997.74,10,Not Applicable,0.0,Netherlands
CUST-046070,0,Premium,10,4,High,6,5,3,295,271-365 days,2214.91,2732.16,136.61,20,Not Applicable,0.0,Mexico
CUST-011372,0,Consumer,6,5,Medium,10,11,5,97,91-180 days,50074.41,46529.5,1292.49,36,Not Applicable,0.0,Spain
CUST-033424,1,Consumer,7,2,Low,15,12,4,28,0-30 days,7725.56,9564.93,0.0,0,Better Price Elsewhere,3825.972,Singapore
CUST-047050,1,Consumer,46,5,High,2,3,6,56,31-60 days,22715.28,22584.8,1254.71,18,Too Expensive,9033.92,Pakistan
CUST-031238,0,Small Business,56,5,High,19,23,9,18,0-30 days,9656.11,10130.31,482.4,21,Not Applicable,0.0,Saudi Arabia
CUST-009204,1,Consumer,8,2,Low,8,10,6,51,31-60 days,39388.4,31820.0,1446.36,22,Shipping Issues,12728.0,Mexico
CUST-028742,0,Consumer,48,2,Medium,4,2,1,282,271-365 days,54032.63,44184.68,1027.55,43,Not Applicable,0.0,Saudi Arabia
CUST-017562,1,Consumer,9,2,Low,18,21,8,46,31-60 days,31614.78,32623.37,665.78,49,Poor Product Quality,13049.348,India
CUST-047103,1,Consumer,25,2,High,19,20,1,7,0-30 days,29582.75,25374.8,576.7,44,Poor Product Quality,10149.92,United Kingdom
CUST-037574,1,Consumer,46,5,High,14,13,6,81,61-90 days,15175.87,12674.14,4224.71,3,Poor Customer Service,5069.656,Brazil
CUST-033827,0,Small Business,19,1,Medium,10,2,4,51,31-60 days,20048.34,17665.6,609.16,29,Not Applicable,0.0,Saudi Arabia
CUST-016486,1,Consumer,48,1,Medium,5,0,2,43,31-60 days,40698.58,34414.39,2458.17,14,Shipping Issues,13765.756000000001,Australia
CUST-016512,0,Small Business,9,4,Medium,13,13,7,3,0-30 days,41869.36,39787.67,5683.95,7,Not Applicable,0.0,France
CUST-010070,1,Premium,34,1,Low,13,16,5,37,31-60 days,46665.38,49392.94,3528.07,14,Poor Customer Service,19757.176000000003,Japan
CUST-013803,0,Consumer,51,2,High,3,0,9,178,91-180 days,45283.31,48642.87,1314.67,37,Not Applicable,0.0,Singapore
CUST-004097,0,Premium,53,4,Medium,11,15,6,56,31-60 days,9605.27,11406.64,325.9,35,Not Applicable,0.0,France
CUST-026899,0,Premium,28,5,Low,1,3,3,52,31-60 days,10977.29,10599.14,423.97,25,Not Applicable,0.0,United Kingdom
CUST-033463,0,Premium,47,5,High,11,7,0,80,61-90 days,42677.45,35968.3,972.12,37,Not Applicable,0.0,Mexico
CUST-046429,0,Consumer,53,4,High,9,1,3,170,91-180 days,36700.47,38646.39,942.59,41,Not Applicable,0.0,Germany
CUST-031097,1,Consumer,16,4,Low,17,21,7,136,91-180 days,55357.75,45162.43,3474.03,13,Shipping Issues,18064.972,France
CUST-000063,0,Premium,35,3,Medium,1,2,1,7,0-30 days,23670.97,28586.2,28586.2,1,Not Applicable,0.0,Brazil
CUST-040644,0,Consumer,57,5,Medium,2,6,2,56,31-60 days,38234.05,46886.96,2604.83,18,Not Applicable,0.0,Singapore
CUST-011218,0,Consumer,44,3,Medium,15,0,6,165,91-180 days,13544.99,15759.06,3939.76,4,Not Applicable,0.0,Brazil
CUST-032896,1,Enterprise,28,5,Medium,11,14,9,257,181-270 days,8657.95,10678.15,1779.69,6,Too Expensive,4271.26,United Kingdom
CUST-028034,0,Consumer,14,1,High,6,5,5,72,61-90 days,19980.34,21598.22,696.72,31,Not Applicable,0.0,Singapore
CUST-012145,0,Premium,19,3,Medium,4,2,7,19,0-30 days,20232.31,19923.57,498.09,40,Not Applicable,0.0,Japan
